name	category	kind	module
FormalSystem.Metalogic.Bundle.h_content	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalContent
FormalSystem.Metalogic.Bundle.f_content	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalContent
FormalSystem.Metalogic.Bundle.p_content	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalContent
FormalSystem.Metalogic.Bundle.u_content	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalContent
FormalSystem.Metalogic.Bundle.s_content	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalContent
FormalSystem.Metalogic.Bundle.forward_temporal_witness_seed	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.WitnessSeed
FormalSystem.Metalogic.Bundle.past_temporal_witness_seed	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.WitnessSeed
FormalSystem.Metalogic.Bundle.until_witness_seed	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.WitnessSeed
FormalSystem.Metalogic.Bundle.past_temp_a	data	def	FormalSystem.Metalogic.Bundle.WitnessSeed
FormalSystem.Metalogic.Core.deduction_axiom	data	def	FormalSystem.Metalogic.Core.DeductionTheorem
FormalSystem.Metalogic.Core.deduction_assumption_same	data	def	FormalSystem.Metalogic.Core.DeductionTheorem
FormalSystem.Metalogic.Core.deduction_assumption_other	data	def	FormalSystem.Metalogic.Core.DeductionTheorem
FormalSystem.Metalogic.Core.deduction_mp	data	def	FormalSystem.Metalogic.Core.DeductionTheorem
FormalSystem.Metalogic.Core.deduction_theorem	data	def	FormalSystem.Metalogic.Core.DeductionTheorem
FormalSystem.Metalogic.Core.deduction_converse	data	def	FormalSystem.Metalogic.Core.DeductionTheorem
FormalSystem.Metalogic.Core.derivation_exchange	data	def	FormalSystem.Metalogic.Core.MCSProperties
FormalSystem.Metalogic.Core.temp_4_past	data	def	FormalSystem.Metalogic.Core.MCSProperties
FormalSystem.Metalogic.Core.derives_bot_from_phi_neg_phi	data	def	FormalSystem.Metalogic.Core.MaximalConsistent
FormalSystem.Metalogic.Decidability.FMP.subformulaClosure_fintype	data	def	FormalSystem.Metalogic.Decidability.FMP.FiniteModel
FormalSystem.Metalogic.Decidability.Propositional.neg_imp_intro	data	def	FormalSystem.Metalogic.Decidability.Propositional.Kalmar
FormalSystem.Metalogic.Decidability.Propositional.kalmar_step	data	def	FormalSystem.Metalogic.Decidability.Propositional.Kalmar
FormalSystem.Metalogic.Decidability.Propositional.elim_vars	data	def	FormalSystem.Metalogic.Decidability.Propositional.Kalmar
FormalSystem.Metalogic.Decidability.Propositional.tautology_derivable'	data	def	FormalSystem.Metalogic.Decidability.Propositional.Kalmar
FormalSystem.Metalogic.Decidability.Propositional.tautology_derivable_fc'	data	def	FormalSystem.Metalogic.Decidability.Propositional.Kalmar
FormalSystem.Metalogic.Decidability.expandOnceWithApplied_tracedImpl	data	def	FormalSystem.Metalogic.Decidability.Saturation
FormalSystem.Metalogic.Decidability.expandBranchWithFuel_tracedImpl	data	def	FormalSystem.Metalogic.Decidability.Saturation
FormalSystem.Metalogic.Decidability.expandBranchWithFuel_traced	data	def	FormalSystem.Metalogic.Decidability.Saturation
FormalSystem.Metalogic.SoundnessLemmas.is_valid	prop_valued_definition	def	FormalSystem.Metalogic.SoundnessLemmas.Core
FormalSystem.Metalogic.WeakCanonical.ChronicleAsPriorModel.domain_lo	data	def	FormalSystem.Metalogic.WeakCanonical.ChronicleExtraction
FormalSystem.Metalogic.WeakCanonical.ChronicleAsPriorModel.domain_succ	data	def	FormalSystem.Metalogic.WeakCanonical.ChronicleExtraction
FormalSystem.Metalogic.WeakCanonical.ChronicleAsPriorModel.domain_pred	data	def	FormalSystem.Metalogic.WeakCanonical.ChronicleExtraction
FormalSystem.Metalogic.WeakCanonical.ChronicleAsPriorModel.root_point	data	def	FormalSystem.Metalogic.WeakCanonical.ChronicleExtraction
FormalSystem.Metalogic.WeakCanonical.chronicle_prior_domain_linear_order	data	def	FormalSystem.Metalogic.WeakCanonical.ChronicleExtraction
FormalSystem.Metalogic.WeakCanonical.chronicle_discrete_succ	data	def	FormalSystem.Metalogic.WeakCanonical.ChronicleExtraction
FormalSystem.Metalogic.WeakCanonical.chronicle_discrete_pred	data	def	FormalSystem.Metalogic.WeakCanonical.ChronicleExtraction
FormalSystem.Metalogic.WeakCanonical.tacticOrder_refl	data	def	FormalSystem.Metalogic.WeakCanonical.EFGameTactics
FormalSystem.Metalogic.WeakCanonical.tacticOrder_rev	data	def	FormalSystem.Metalogic.WeakCanonical.EFGameTactics
FormalSystem.Metalogic.WeakCanonical.tacticSame_order_type_grid	data	def	FormalSystem.Metalogic.WeakCanonical.EFGameTactics
FormalSystem.Metalogic.WeakCanonical.tacticSame_order_type_grid_uh	data	def	FormalSystem.Metalogic.WeakCanonical.EFGameTactics
