old_name	target_final	full_target	category	module	usages	source
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_char2_diag_exist_tl	nfChar2DiagExistTl	FormalSystem.Metalogic.WeakCanonical.Kamp.nfChar2DiagExistTl	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	6	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_char2_formula	nfChar2Formula	FormalSystem.Metalogic.WeakCanonical.Kamp.nfChar2Formula	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	3	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_char2_future_formula	nfChar2FutureFormula	FormalSystem.Metalogic.WeakCanonical.Kamp.nfChar2FutureFormula	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_char2_past_formula	nfChar2PastFormula	FormalSystem.Metalogic.WeakCanonical.Kamp.nfChar2PastFormula	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_char3_endpoint_tl	nfChar3EndpointTl	FormalSystem.Metalogic.WeakCanonical.Kamp.nfChar3EndpointTl	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_characterizable_temporal_prior	nfCharacterizableTemporalPrior	FormalSystem.Metalogic.WeakCanonical.Kamp.nfCharacterizableTemporalPrior	data	FormalSystem.Metalogic.WeakCanonical.Kamp.KampPrior	1	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_endpoint_tl_gen	nfEndpointTlGen	FormalSystem.Metalogic.WeakCanonical.Kamp.nfEndpointTlGen	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_eval_efold	NfEvalEfold	FormalSystem.Metalogic.WeakCanonical.Kamp.NfEvalEfold	prop_valued_definition	FormalSystem.Metalogic.WeakCanonical.Kamp.NfEFold	4	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_eval_efold_k	NfEvalEfoldK	FormalSystem.Metalogic.WeakCanonical.Kamp.NfEvalEfoldK	prop_valued_definition	FormalSystem.Metalogic.WeakCanonical.Kamp.NfEFold	3	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_nvar_exist_all_depths_fn	nfNvarExistAllDepthsFn	FormalSystem.Metalogic.WeakCanonical.Kamp.nfNvarExistAllDepthsFn	data	FormalSystem.Metalogic.WeakCanonical.Kamp.KampPrior	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_nvar_exist_depth0_tl_fn	nfNvarExistDepth0TlFn	FormalSystem.Metalogic.WeakCanonical.Kamp.nfNvarExistDepth0TlFn	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfDepth0Generalized	3	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_quant_clause_tl	nfQuantClauseTl	FormalSystem.Metalogic.WeakCanonical.Kamp.nfQuantClauseTl	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfDepth0Generalized	14	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_succ_char_formula	nfSuccCharFormula	FormalSystem.Metalogic.WeakCanonical.Kamp.nfSuccCharFormula	data	FormalSystem.Metalogic.WeakCanonical.Kamp.KampPrior	4	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_t_proj	nfTProj	FormalSystem.Metalogic.WeakCanonical.Kamp.nfTProj	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfToVecEA	12	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_t_proj3	nfTProj3	FormalSystem.Metalogic.WeakCanonical.Kamp.nfTProj3	data	FormalSystem.Metalogic.WeakCanonical.Kamp.VecEADecomp	28	flagged
